1,93706,26027.04763,0.5,0,0.9,0.1,0.07,1.1,1.8,0.2,0.4,0.3,1.6,0.6,0.07.1,1.2,6.1,0.7,1.3,0.8
2,93715,28400.58317,0.3,0.0,1.3,0.0,0.1,0.0,0.6,0.0,0.2,0.0,2.0,0.0,0.07,1.0,6.2,0.0,2.3,0.0
3,93717,141021.8847,0.4,0.0,1.4,0.0,0.3,0.0,1.0,0.0,0.3,0.0,1.9,0.0,0.07,1.0,9.6,0.0,2.3,0.0
4,93721,23886.49561,0.2,0.0,0.8,0.0,0.07,1.0,0.5,0.0,0.1,0.0,2.1,0.0,0.07,1.0,2.0,0.0,1.2,0.0
5,93723,703434.3321,0.3,0.0,2.9,0.0,0.1,0.0,0.6,0.0,0.2,0.0,1.7,0.0,0.07,1.0,7.0,0.0,4.5,0.0
6,93738,188702.9597,0.2,0.0,2.2,0.0,0.1,0.0,0.8,0.0,0.1,0.0,1.5,0.0,0.07,1.0,3.8,0.0,1.8,0.0
7,93747,108009.621,0.2,0.0,0.3,0.0,0.1,0.0,0.4,0.0,0.07,1.0,0.5,0.0,0.07,1.0,0.7,0.0,0.3,0.0
8,93756,23039.71665,0.2,0.0,0.4,0.0,0.1,0.0,0.4,0.0,0.2,0.0,1.0,0.0,0.07,1.0,1.5,0.0,0.7,0.0
9,93758,84626.67374,0.2,0.0,1.0,0.0,0.3,0.0,0.4,0.0,0.07,1.0,2.2,0.0,0.07,1.0,3.2,0.0,3.2,0.0
10,93760,73085.33921,0.3,0.0,0.5,0.0,0.1,0.0,0.5,0.0,0.2,0.0,1.1,0.0,0.07,1.0,3.1,0.0,0.7,0.0
11,93762,73001.15051,0.1,0.0,0.7,0.0,0.6,0.0,0.2,0.0,0.07,1.0,1.1,0.0,0.07,1.0,1.7,0.0,0.9,0.0
12,93763,243708.4474,0.1,0.0,1.4,0.0,0.07,1.0,0.2,0.0,0.07,1.0,1.3,0.0,0.1,0.0,2.6,0.0,1.4,0.0
13,93765,250734.2568,0.1,0.0,0.4,0.0,0.1,0.0,0.07,1.0,0.1,0.0,0.7,0.0,0.07,1.0,1.1,0.0,0.3,0.0
14,93766,56070.75644,0.1,0.0,0.7,0.0,0.2,0.0,0.1,0.0,0.1,0.0,0.8,0.0,0.07,1.0,0.9,0.0,0.5,0.0
15,93767,76095.34608,0.2,0.0,1.1,0.0,0.07,1.0,1.4,0.0,0.1,0.0,0.9,0.0,0.07,1.0,2.9,0.0,1.6,0.0
16,93768,63430.81862,0.4,0.0,1.3,0.0,0.1,0.0,1.2,0.0,0.3,0.0,1.1,0.0,0.07,1.0,9.6,0.0,3.9,0.0
17,93776,64470.14368,0.5,0.0,1.5,0.0,0.07,1.0,0.6,0.0,0.2,0.0,2.0,0.0,0.07,1.0,4.0,0.0,1.4,0.0
18,93782,106857.0565,0.5,0.0,0.8,0.0,0.1,0.0,0.8,0.0,0.6,0.0,1.3,0.0,0.07,1.0,3.0,0.0,0.6,0.0
20,93789,826908.0143,0.1,0.0,1.3,0.0,0.07,1.0,0.3,0.0,0.07,1.0,2.4,0.0,0.07,1.0,1.9,0.0,1.3,0.0
21,93806,39883.18997,0.6,0.0,0.8,0.0,0.07,1.0,0.6,0.0,0.3,0.0,1.4,0.0,0.07,1.0,5.7,0.0,0.9,0.0
22,93808,142254.2927,0.1,0.0,1.6,0.0,0.2,0.0,0.6,0.0,0.07,1.0,1.8,0.0,0.2,0.0,2.1,0.0,1.2,0.0
23,93810,56899.39555,0.2,0.0,0.5,0.0,0.1,0.0,0.3,0.0,0.2,0.0,1.3,0.0,0.2,0.0,2.6,0.0,0.4,0.0
24,93812,848851.7235,0.3,0.0,2.0,0.0,0.2,0.0,0.8,0.0,0.2,0.0,4.1,0.0,0.07,1.0,8.9,0.0,6.2,0.0
26,93817,37295.09515,0.7,0.0,1.2,0.0,0.2,0.0,1.2,0.0,0.5,0.0,2.3,0.0,0.2,0.0,8.6,0.0,1.7,0.0
27,93821,61214.57584,0.4,0.0,0.4,0.0,0.2,0.0,0.4,0.0,0.2,0.0,1.2,0.0,0.07,1.0,1.6,0.0,0.6,0.0
28,93824,138382.1452,0.4,0.0,0.7,0.0,0.2,0.0,1.1,0.0,0.2,0.0,3.1,0.0,0.07,1.0,3.8,0.0,1.8,0.0
29,93829,155874.107,0.2,0.0,0.6,0.0,0.07,1.0,0.4,0.0,0.2,0.0,1.1,0.0,0.07,1.0,3.3,0.0,0.7,0.0
30,93830,15297.30342,0.07,1.0,0.07,1.0,0.07,1.0,0.07,1.0,0.07,1.0,0.07,1.0,0.1,0.0,0.07,1.0,0.07,1.0
31,93831,32110.53382,0.2,0.0,1.3,0.0,0.2,0.0,0.5,0.0,0.2,0.0,1.9,0.0,0.07,1.0,2.5,0.0,1.3,0.0
32,93832,42013.19321,0.2,0.0,2.8,0.0,0.07,1.0,0.5,0.0,0.1,0.0,1.4,0.0,0.2,0.0,3.4,0.0,2.4,0.0
33,93834,86111.08307,0.2,0.0,1.0,0.0,0.1,0.0,0.6,0.0,0.2,0.0,1.8,0.0,0.07,1.0,2.3,0.0,0.9,0.0
